Id,Family,Name,ProductCode,product_series_name__c,SBCF_Product_Family_Code__c,Sub.Product
01tf2000008C6oSAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Advanced Threat Protection Subscription 1 Month,BNGCAW004a-a,CAW,BNG,CGF Public Cloud
01tf2000008C5h7AAC,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Demo Conversion,BNGCAW004a-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xVAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Insights for Amazon Web Services Level 4 1 Month,BNGCAW004a-fi,CAW,BNG,CGF Public Cloud
01tf2000008C6oTAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Malware Protection Subscription 1 Month,BNGCAW004a-m,CAW,BNG,CGF Public Cloud
01tf2000008C6oUAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Premium Support Subscription 1 Month,BNGCAW004a-p,CAW,BNG,CGF Public Cloud
01tf2000008C6oVAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Virtual Subscription 1 Month,BNGCAW004a-v,CAW,BNG,CGF Public Cloud
01tf2000008C6oWAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 4 Advanced Remote Access Subscription 1 Month,BNGCAW004a-vp,CAW,BNG,CGF Public Cloud
01tf2000008C6oXAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Account,BNGCAW004p,CAW,BNG,CGF Public Cloud
01tf2000008C6oYAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Advanced Threat Protection Subscription 1 Month,BNGCAW004p-a,CAW,BNG,CGF Public Cloud
01tf2000008C6oZAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Malware Protection Subscription 1 Month,BNGCAW004p-m,CAW,BNG,CGF Public Cloud
01tf2000008C6oaAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Premium Support Subscription 1 Month,BNGCAW004p-p,CAW,BNG,CGF Public Cloud
01tf2000009IBJmAAO,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Base License Capacity,BNGCAW004pu,null,BNG,CGF Public Cloud
01tf2000008C6obAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Virtual Subscription 1 Month,BNGCAW004p-v,CAW,BNG,CGF Public Cloud
01tf2000008C6ocAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 4 Advanced Remote Access Subscription 1 Month,BNGCAW004p-vp,CAW,BNG,CGF Public Cloud
01tf2000008C6odAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 4 MSP,BNGCAW004sa,CAW,BNG,CGF Public Cloud
01tf2000008C6qDAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 4 MSP,BNGCAW004sa-b,CAW,BNG,CGF Public Cloud
01tf2000008C5h8AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 4 Demo Conversion,BNGCAW004sa-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xWAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 4 Energize Updates Subscription MSP,BNGCAW004sa-t1m,CAW,BNG,CGF Public Cloud
01tf2000008C6qSAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Account,BNGCAW006a,CAW,BNG,CGF Public Cloud
01tf2000008C6qTAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Advanced Threat Protection Subscription 1 Month,BNGCAW006a-a,CAW,BNG,CGF Public Cloud
01tf2000008C5hBAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Demo Conversion,BNGCAW006a-dc,CAW,BNG,CGF Public Cloud
01tf2000008C5xXAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Insights for Amazon Web Services Level 6 1 Month,BNGCAW006a-fi,CAW,BNG,CGF Public Cloud
01tf2000008C6qUAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Malware Protection Subscription 1 Month,BNGCAW006a-m,CAW,BNG,CGF Public Cloud
01tf2000008C6qVAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Premium Support Subscription 1 Month,BNGCAW006a-p,CAW,BNG,CGF Public Cloud
01tf2000008C6qWAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Virtual Subscription 1 Month,BNGCAW006a-v,CAW,BNG,CGF Public Cloud
01tf2000008C6qXAAS,Cloudgen Firewall,Barracuda CloudGen Firewall for Amazon Web Services Level 6 Advanced Remote Access Subscription 1 Month,BNGCAW006a-vp,CAW,BNG,CGF Public Cloud
01tf2000008C6qYAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Account,BNGCAW006p,CAW,BNG,CGF Public Cloud
01tf2000008C6qZAAS,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Advanced Threat Protection Subscription 1 Month,BNGCAW006p-a,CAW,BNG,CGF Public Cloud
01tf2000008C6qaAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Malware Protection Subscription 1 Month,BNGCAW006p-m,CAW,BNG,CGF Public Cloud
01tf2000008C6qbAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Premium Support Subscription 1 Month,BNGCAW006p-p,CAW,BNG,CGF Public Cloud
01tf2000009IBJnAAO,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Base License Capacity,BNGCAW006pu,null,BNG,CGF Public Cloud
01tf2000008C6qcAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Virtual Subscription 1 Month,BNGCAW006p-v,CAW,BNG,CGF Public Cloud
01tf2000008C730AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Pool for Amazon Web Services Level 6 Advanced Remote Access Subscription 1 Month,BNGCAW006p-vp,CAW,BNG,CGF Public Cloud
01tf2000008C731AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 6 MSP,BNGCAW006sa,CAW,BNG,CGF Public Cloud
01tf2000008C732AAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 6 MSP,BNGCAW006sa-b,CAW,BNG,CGF Public Cloud
01tf2000008C5feAAC,Cloudgen Firewall,Barracuda CloudGen Firewall Total Protect Plus for AWS Level 6 Demo Conversion,BNGCAW006sa-dc,CAW,BNG,CGF Public Cloud
